track_title;track_n;album;year;lyric
Emotionally Yours;7;Empire burlesque;1985;Come baby, find me, come baby, remind me of where I once begun Come baby, show me, show me you know me, tell me you're the one I could be learning, you could be yearning to see behind closed doors But I will always be emotionally yours Come baby, rock me, come baby, lock me into the shadows of your heart Come baby, teach me, come baby, reach me, let the music start I could be dreaming but I keep believing you're the one I'm living for And I will always be emotionally yours It's like my whole life never happened When I see you, it's as if I never had a thought I know this dream, it might be crazy But it's the only one I've got Come baby, shake me, come baby, take me, I would be satisfied Come baby, hold me, come baby, help me, my arms are open wide I could be unraveling wherever I'm traveling, even to foreign shores But I will always be emotionally yours
When the Night Comes Falling from the Sky;8;Empire burlesque;1985;Look out across the fields, see me returning Smoke is in your eye, you draw a smile From the fireplace where my letters to you are burning You've had time to think about it for a while Well, I've walked two hundred miles, now look me over It's the end of the chase and the moon is high It won't matter who loves who You'll love me or I'll love you When the night comes falling from the sky I can see through your walls and I know you're hurting Sorrow covers you up like a cape Only yesterday I know that you've been flirting With disaster that you managed to escape I can't provide for you no easy answers Who are you that I should have to lie? You'll know all about it, love It'll fit you like a glove When the night comes falling from the sky I can hear your trembling heart beat like a river You must have been protecting someone last time I called I've never asked you for nothing you couldn't deliver I've never asked you to set yourself up for a fall I saw thousands who could have overcome the darkness For the love of a lousy buck, I've watched them die Stick around, baby, we're not through Don't look for me, I'll see you When the night comes falling from the sky In your teardrops, I can see my own reflection It was on the northern border of Texas where I crossed the line I don't want to be a fool starving for affection I don't want to drown in someone else's wine For all eternity I think I will remember That icy wind that's howling in your eye You will seek me and you'll find me In the wasteland of your mind When the night comes falling from the sky Well, I sent you my feelings in a letter But you were gambling for support This time tomorrow I'll know you better When my memory is not so short This time I'm asking for freedom Freedom from a world which you deny And you'll give it to me now I'll take it anyhow When the night comes falling from the sky
Something's Burning, Baby;9;Empire burlesque;1985;Something is burning, baby, are you aware? Something is the matter, baby, there's smoke in your hair Are you still my friend, baby, show me a sign Is the love in your heart for me turning blind? You've been avoiding the main streets for a long, long while The truth that I'm seeking is in your missing file What's your position, baby, what's going on? Why is the light in your eyes nearly gone? I know everything about this place, or so it seems Am I no longer a part of your plans or your dreams? Well, it is so obvious that something has changed What's happening, baby, to make you act so strange? Something is burning, baby, here's what I say Even the bloodhounds of London couldn't find you today I see the shadow of a man, baby, making you blue Who is he, baby, and what's he to you? We've reached the edge of the road, baby, where the pasture begins Where charity is supposed to cover up a multitude of sins But where do you live, baby, and where is the light? Why are your eyes just staring off in the night? I can feel it in the night when I think of you I can feel it in the light and it's got to be true You can't live by bread alone, you won't be satisfied You can't roll away the stone if your hands are tied Got to start someplace, baby, can you explain? Please don't fade away on me, baby, like the midnight train Answer me, baby, a casual look will do Just what in the world has come over you? I can feel it in the wind and it's upside down I can feel it in the dust as I get off the bus on the outskirts of town I've had the Mexico City blues since the last hairpin curve I don't want to see you bleed, I know what you need but it is not what you deserve Something is burning, baby, something's in flames There's a man going around calling names Ring down when you're ready, baby, I'm waiting for you I believe in the impossible, you know that I do
Dark Eyes;10;Empire burlesque;1985;Oh, the gentlemen are talking and the midnight moon is on the riverside They're drinking up and walking and it is time for me to slide I live in another world where life and death are memorized Where the earth is strung with lovers' pearls and all I see are dark eyes A cock is crowing far away and another soldier's deep in prayer Some mother's child has gone astray, she can't find him anywhere But I can hear another drum beating for the dead that rise Whom nature's beast fears as they come and all I see are dark eyes They tell me to be discreet for all intended purposes They tell me revenge is sweet and from where they stand, I'm sure it is But I feel nothing for their game where beauty goes unrecognized All I feel is heat and flame and all I see are dark eyes Oh, the French girl, she's in paradise and a drunken man is at the wheel Hunger pays a heavy price to the falling gods of speed and steel Oh, time is short and the days are sweet and passion rules the arrow that flies A million faces at my feet but all I see are dark eyes
You Wanna Ramble;1;Knocked out loaded;1986;"Well I told my baby I said ""Baby, I know Where you been Well, I know who you are And what league you played in"" You wanna ramble To the break of dawn You wanna ramble To the break of dawn You wanna ramble To the break of dawn Well, the night is so empty So quit and still For only fifteen Hundred dollars You can have anybody killed You wanna ramble To the break of dawn You wanna ramble To the break of dawn You wanna ramble To the break of dawn Well, I told my baby Further down the line I said, ""What happens tomorrow Is on your head, not mine"" You wanna ramble To the break of dawn You wanna ramble To the break of dawn You wanna ramble To the break of dawn"
They Killed Him;2;Knocked out loaded;1986;There was a man named Hatma Gandi He would not bow down he would not fight He knew the deal was down and dirty And nothing wrong could make it right away But he knew his duty and the prize he had to pay Just another holy man who tried to be a friend My God, they killed him Another man from Atlanta, Georgia By name of Martin Luther King He shook the land like the rolling thunder And made the bells of freedom ring today With a dream of beauty that they could not burn away Just another holy man who dared to make a stand My God, they killed him The only Son of God Almighty The holy one called Jesus Christ He healed the lame and fed the hungry And for his love they took his life away On the road to glory where the story never ends Just the holy Son of Man we'll never understand My God, they killed him There was a man named Mahatma Gandi A man named Martin Luther King The only Son of God Almighty The only one called Jesus Christ On the road to glory where the story never ends Just the holy Son of Man we'll never understand My God, they killed him There was a man named Mahatma Gandi A man named Martin Luther King The only Son of God Almighty The only one called Jesus Christ On the road to glory where the story never ends Just the holy Son of Man we'll never understand My God, they killed him
Driftin’ Too Far from Shore;3;Knocked out loaded;1986;I didn't know that you'd be leaving' Or who you thought you were talking' to I figure maybe we're even Or maybe I'm one up on you I send you all my money Just like I did before I tried to reach you honey But you're drifting too far from shore Drifting too far from shore Drifting too far from shore Drifting too far from shore Drifting too far from shore I ain't gonna get lost in this current I don't like playing cat and mouse No gentleman likes making love to a servant Especially when he's in his father's house I never could guess your weight, baby Never needed to call you my whore I always thought you were straight, baby But you're drifting too far from shore Well these times and these tunnels are haunted The bottom of the barrel is too I waited years sometimes for what I wanted Everybody can't be as lucky as you Never no more do I wonder Why you don't never play with me anymore At any moment you could go under 'Cause you're drifting too far from shore You and me we had completeness I give you all of what I could provide We weren't on the wrong side, sweetness We were the wrong side I've already ripped out the phones, honey You can't walk the streets in a war I can finish this alone honey You're drifting too far from shore
Precious Memories;4;Knocked out loaded;1986;As I travel down life's pathway Know not what the years may hold As I ponder, hopes grow fonder Precious memories flood my soul Precious father, loving mother Glide across the lonely years And old homes scenes of my childhood In fond memory appears Precious memories, how they linger How they ever flood my soul In the stillness of the midnight Precious sacred scenes unfold
Maybe Someday;5;Knocked out loaded;1986;Maybe someday you'll be satisfied When you've lost everything you'll have nothing left to hide When you're through running over things like you're walking 'across the tracks Maybe you'll beg me to take you back Maybe someday you'll find out everybody's somebody's fool Maybe then you'll realize what it would have taken to keep me cool Maybe someday when you're by yourself alone You'll know the love that I had for you have been never my own Maybe someday you'll have nowhere to turn You'll look back and wonder 'bout the bridges you have burned You'll look back sometime when the lights grow dim And you'll see you look much better with me than you do with him Through hostile cities and unfriendly towns Thirty pieces of silver, no money down Maybe someday, you will understand That something for nothing is everybody's plan Maybe someday you'll remember what you felt When there was blood on the moon in the cotton belt When both of us, baby, we're going through some sort of a test Neither one of us could do what we do best I should have known better, baby, I should have called your bluff I guess I was too off the handle, not sentimental enough Maybe someday, you'll believe me when I say That I wanted you, baby, in every kind of way Maybe someday you'll hear a voice from on high Saying', “For whose sake did you live, for whose sake did you die?” Forgive me, baby, for what I didn't do For not breaking down no bedroom door to get at you Always was a sucker for the right cross Never wanted to go home 'till the last cent was lost Maybe someday you will look back and see That I made it so easy for you to follow me Maybe someday there'll be nothing to tell I'm just as happy as you, baby, I just can't say it so well Never slumbered or slept or waited for lightning to strike There's no excuse for you to say that we don't think alike You said you were going' to Frisco, stay a couple of months I always like San Francisco, I was there for a party once Maybe someday you'll see that it's true There was no greater love than what I had for you
Brownsville Girl;6;Knocked out loaded;1986;Well, there was this movie I seen one time About a man riding 'cross the desert and it starred Gregory Peck He was shot down by a hungry kid trying to make a name for himself The townspeople wanted to crush that kid down and string him up by the neck Well, the marshal, now he beat that kid to a bloody pulp As the dying gunfighter lay in the sun and gasped for his last breath “Turn him loose, let him go, let him say he outdrew me fair and square I want him to feel what it's like to every moment face his death” Well, I keep seeing this stuff and it just comes a-rolling in And you know it blows right through me like a ball and chain You know I can't believe we've lived so long and are still so far apart The memory of you keeps calling after me like a rolling train I can still see the day that you came to me on the painted desert In your busted down Ford and your platform heels I could never figure out why you chose that particular place to meet Ah, but you were right. It was perfect as I got in behind the wheel Well, we drove that car all night into San Anton' And we slept near the Alamo, your skin was so tender and soft Way down in Mexico you went out to find a doctor and you never came back I would have gone on after you but I didn't feel like letting my head get blown off Well, we're driving' this car and the sun is coming' up over the Rockies Now I know she ain't you but she's here and she's got that dark rhythm in her soul But I'm too over the edge and I ain't in the mood anymore to remember the times When I was your only man And she don't want to remind me. She knows this car would go out of control Brownsville girl with your Brownsville curls Teeth like pearls shining like the moon above Brownsville girl, show me all around the world Brownsville girl, you're my honey love Well, we crossed the panhandle and then we headed towards Amarillo We pulled up where Henry Porter used to live. He owned a Wreckin' lot outside of town about a mile Ruby was in the backyard hanging clothes, she had her red hair tied back. She saw us come rolling up in a trail of dust She said, “Henry ain't here but you can come on in, he'll be back in a little while” Then she told us how times were tough and about how she was thinking' of Bumming a ride back from where she started But ya know, she changed the subject every time money came up She said, “Welcome to the land of the living dead” You could tell she was so broken hearted She said, “Even the swap meets around here are getting pretty corrupt” “How far are y'all going?” Ruby asked us with a sigh “We're going all the way 'till the wheels fall off and burn 'Til the sun peels the paint and the seat covers fade and the water moccasin dies” Ruby just smiled and said, “Ah, you know some babies never learn” Something about that movie though, well I just can't get it out of my head But I can't remember why I was in it or what part I was supposed to play All I remember about it was Gregory Peck and the way people moved And a lot of them seemed to be looking' my way Well, they were looking for somebody with a pompadour I was crossing' the street when shots rang out I didn't know whether to duck or to run, so I ran “We got him cornered in the churchyard,” I heard somebody shout Well, you saw my picture in the Corpus Christi Tribune. Underneath it It said, “A man with no alibi” You went out on a limb to testify for me, you said I was with you Then when I saw you break down in front of the judge and cry real tears It was the best acting I saw anybody do Now I've always been the kind of person that doesn't like to trespass But sometimes you just find yourself over the line Oh if there's an original thought out there, I could use it right now You know, I feel pretty good, but that is not saying' much. I could feel a whole lot better If you were just here by my side to show me how Well, I'm standing' in line in the rain to see a movie starring Gregory Peck Yeah, but you know it's not the one that I had in mind He's got a new one out now, I don't even know what it's about But I'll see him in anything so I'll stand in line You know, it's funny how things never turn out the way you had 'em planned The only thing we knew for sure about Henry Porter is that his name wasn't Henry Porter And you know there was something' about you baby that I liked that was always too good for this world Just like you always said there was something' about me you liked That I left behind in the French Quarter Strange how people who suffer together have stronger connections than people who are most content I don't have any regrets, they can talk about me plenty when I'm gone You always said people don't do what they believe in, they just do what's most convenient, then they repent And I always said, “Hang on to me, baby, and let's hope that the roof stays on” There was a movie I seen one time, I think I sat through it twice I don't remember who I was or where I was bound All I remember about it was it starred Gregory Peck, he wore a gun And he was shot in the back Seems like a long time ago, long before the stars were torn down
Got My Mind Made Up;7;Knocked out loaded;1986;Don't ever try to change me I been in this thing too long There's nothing' you can say or do To make me think I'm wrong Well, I'm going' off to Libya There's a guy I gotta see He's been living there three years now In an oil refinery I've got my mind made up Oh, I have got my mind made up Call your Ma in Tallahassee Tell her her baby's on the line Tell her not to worry Everything is gonna be fine Well, I gave you all my money All my connections, too There ain't nothing' in this world, girl You can say I didn't give to you I've got my mind made up I've got my mind made up You will be alright, girl Someone's watching' over you He won't do nothing' to you Baby that I wouldn't do Well, if you don't want to see me Look the other way You don't have to feed me I ain't your dog that's gone astray I got my mind made up I got my mind made up I got my mind made up I got my mind made up I got my mind made up
Under Your Spell;8;Knocked out loaded;1986;Something' about you that I can't shake Don't know how much more of this I can take Baby, I'm under your spell I was knocked out and loaded in the naked night When my last dream exploded, I noticed your light Baby, oh what a story I could tell It's been nice seeing you, you read me like a book If you ever want to reach me, you know where to look Baby, I'll be at the same hotel I'd like to help you but I'm in a bit of a jam I'll call you tomorrow if there's phones where I am Baby, caught between heaven and hell But I will be back, I will survive You'll never get rid of me as long as you're alive Baby, can't you tell Well it's four in the morning by the sound of the birds I'm staring' at your picture, I'm hearing' your words Baby, they ring in my head like a bell Everywhere you go it's enough to break hearts Someone always gets hurt, a fire always starts You were too hot to handle, you were breaking every vow I trusted your baby, you can trust me now Turn back baby, wipe your eye Don't think I'm leaving here without a kiss goodbye Baby, is there anything left to tell? I'll see you later when I'm not so out of my head Maybe next time I'll let the dead bury the dead Baby, what more can I tell? Well the desert is hot, the mountain is cursed Pray that I don't die of thirst Baby, two feet from the well
Let's Stick Together;1;Down in the groove;1988;Well, a young marriage vow, you know, it's very sacred The man put us together, now, you wanna make it Stick together Come on, come on, stick together You know, you made a vow, not to leave one another, never Well, ya never miss you water till your well runs dry Come on, baby, give our love a try, let's stick together Come on, come on, stick together We made a vow, not to leave one another, never Well, ya never miss your water till your well runs dry Come one, baby, give our love a try, let's stick together Come on, come on, stick together You know, we made a vow, not to leave one another, never It might be tough for a while, but consider the child Cannot be happy without his mom and his pappy Let's stick together Come on, come on, stick together You know, we made a vow, not to leave one another, never
When Did You Leave Heaven?;2;Down in the groove;1988;When did you leave heaven ? How could they let you go ? How's every thing in heaven ? I'd like to know Why did you trade heaven ? For all these earthly things ? Where on earth you hide halo ? Where did you lose your wings ? Have they missed you ? Can you get back in ? If I kiss you would it be a sin ? I am only human but you are so divine When did you leave heaven angel mine ?
Sally Sue Brown;3;Down in the groove;1988;"Look who's back in town Ain't nobody but Sally Sue Brown All you boys better run for cover If you don't a-wanna be a broken hearted lover See her in that very tight skirt Got what it takes Just to make you hurt Don't be deceived by those big bright eyes Prefer to treat her nasty and low down lies Makes no difference where she's been I'm go in south and doing them things again Bake in a hot tub, down the line I'd rather see you ruin this a-heart of mine I'll go see them come down my way Like a fool you're gonna hear me say ""I'll lay at your bed Sally Sue Brown Please let me love you, baby Don't put me down"""
Death Is Not the End;4;Down in the groove;1988;When you're sad and when you're lonely And you haven't got a friend Just remember that death is not the end And all that you've held sacred Falls down and does not mend Just remember that death is not the end Not the end, not the end Just remember that death is not the end When you're standing at the crossroads That you cannot comprehend Just remember that death is not the end And all your dreams have vanished And you don't know what's up the bend Just remember that death is not the end Not the end, not the end Just remember that death is not the end When the storm clouds gather 'round you And heavy rains descend Just remember that death is not the end And there's no one there to comfort you With a helping hand to lend Just remember that death is not the end Not the end, not the end Just remember that death is not the end Oh, the tree of life is growing Where the spirit never dies And the bright light of salvation shines In dark and empty skies When the cities are on fire With the burning flesh of men Just remember that death is not the end And you search in vain to find Just one law-abiding citizen Just remember that death is not the end Not the end, not the end Just remember that death is not the end
Had a Dream About You, Baby;5;Down in the groove;1988;I got to see you baby, I don't care It may be someplace, baby, you say where I had a dream about you, baby Had a dream about you, baby Late last night you come a-rolling across my mind You got the crazy rhythm when you walk You make me nervous when you start to talk Standing on the highway, you flag me down Said, take me Daddy, to the nearest town The joint is jumping It's really something The beat is pumping My heart is thumping Spent my money on you honey My limbs are shaking My mind is breaking You kiss me, baby, in the coffee shop You make me so mad, I tell you to stop You wear a blue scarf upon your head Wearing a long dress fire engine red
Ugliest Girl in the World;6;Down in the groove;1988;The woman that I love she got a hook in her nose Her eyebrows meet, she wears second hand clothes She speaks with a stutter and she walks with a hop I don't know why I love her but I just can't stop You know I love her Yeah I love her I'm in love with the Ugliest Girl in the World If I ever lose her I will go insane I go half crazy when she calls my name When she says baby I l-l-love you There ain't nothing in the world that I wouldn't do The woman that I love she got two flat feet Her knees knock together walking down the street She cracks her knuckles and she snores in bed She ain't much to look at but like I said I don't mean to say that she got nothing going She got a weird sense of humor that's all her own When I get low she sets me on my feet Got a five inch smile but her breath is sweet The woman that I love she a got a prizefighter nose Cauliflower ears and a run in her hose She speaks with a stutter and she walks with a hop I don't know why I love her but I just can't stop
Silvio;7;Down in the groove;1988;Stake my future on a hell of a past Looks like tomorrow is coming on fast Ain't complaining 'bout what I got Seen better times, but who has not? Silvio Silver and gold Won't buy back the beat of a heart grown cold Silvio I gotta go Find out something only dead men know Honest as the next jade rolling that stone When I come knocking don't throw me no bone I'm an old boll weevil looking for a home If you don't like it you can leave me alone I can snap my fingers and require the rain From a clear blue sky and turn it off again I can stroke your body and relieve your pain And charm the whistle off an evening train I give what I got until I got no more I take what I get until I even the score You know I love you and furthermore When it's time to go you got an open door I can tell you fancy, I can tell you plain You give something up for everything you gain Since every pleasure's got an edge of pain Pay for your ticket and don't complain One of these days and it won't be long Going down in the valley and sing my song I will sing it loud and sing it strong Let the echo decide if I was right or wrong
Ninety Miles an Hour (Down a Dead End Street);8;Down in the groove;1988;I took you home from a party and we kissed in fun A few stolen kisses and no harm was done Instead of stopping when we could we went right on Till suddenly we found that the brakes were gone You belong to someone else, and I do too It's just crazy bein' here with you As a bad motorcycle with the devil in the seat Going ninety miles an hour down a dead end street Ninety miles an hour down a dead end street I didn't want to want you, but now I have no choice It's too late to listen to that warning voice All I hear is thunder of two hearts beat Going ninety miles an hour down a dead end street Ninety miles an hour down a dead end street You're not free to belong to me And you know I could never be your own Your lips on mine are like a sweet, sweet wine But we're heading for a wall of stone Warning signs are flashing every where, but we pay no heed 'Stead of slowing down the place, we keep a picking up speed Disaster's getting closer every time we meet Going ninety miles an hour down a dead end street Yeah, ninety miles an hour down a dead end street Well, ninety miles an hour down a dead end street
Shenandoah;9;Down in the groove;1988;Oh, Shenandoah, I long to hear you Look away, you rolling river Oh, Shenandoah, I long to hear you Look away. We're bound away Across the wide Missouri Now the Missouri is a mighty river Look away, you rolling river Indians camp along her border Look away. We're bound away Across the wide Missouri Well a white man loved an Indian maiden Look away, you rolling river With notions his canoe was laden Look away, we're bound away Across the wide Missouri Oh Shenandoah, I love your daughter Look away, you rolling river It was for her I'd cross the water Look away, we're bound away Across the wide Missouri For seven long years I courted Sally Look away, you rolling river Seven more years I longed to have her Look away, we're bound away Across the wide Missouri Well, it's fare-thee-well, my dear I'm bound to leave you Look away you rolling river Shenandoah, I will not deceive you Look away, we're bound away Across the wide Missouri
Rank Strangers to Me;10;Down in the groove;1988;"I wandered again to my home in the mountain Where in youth's early days I was happy and free I looked for my friends but I never could find them I found they were all rank strangers to me Everybody I met seemed to be a rank stranger No mother or dad not a friend could I see They knew not my name and I knew not their faces I found they were all rank strangers to me They all moved away, said a voice of a stranger ""To that beautiful home by the bright crystal sea"" Some beautiful day I'll meet them in heaven Where no one will be a stranger to me"
Political World;1;Oh mercy;1989;We live in a political world Love don't have any place We're living in times where men commit crimes And crime don't have a face We live in a political world Icicles hanging down Wedding bells ring and angels sing Clouds cover up the ground We live in a political world Wisdom is thrown into jail It rots in a cell, is misguided as hell Leaving no one to pick up a trail We live in a political world Where mercy walks the plank Life is in mirrors, death disappears Up the steps into the nearest bank We live in a political world Where courage is a thing of the past Houses are haunted, children are unwanted The next day could be your last We live in a political world The one we can see and can feel But there's no one to check, it's all a stacked deck We all know for sure that it's real We live in a political world In the cities of lonesome fear Little by little you turn in the middle But you're never sure why you're here We live in a political world Under the microscope You can travel anywhere and hang yourself there You always got more than enough rope We live in a political world Turning and a-thrashing about As soon as you're awake, you're trained to take What looks like the easy way out We live in a political world Where peace is not welcome at all It's turned away from the door to wander some more Or put up against the wall We live in a political world Everything is hers or his Climb into the frame and shout God's name But you're never sure what it is
Where Teardrops Fall;2;Oh mercy;1989;Far away where the soft winds blow Far away from it all There is a place you go Where teardrops fall Far away in the stormy night Far away and over the wall You are there in the flickering light Where teardrops fall We banged the drum slowly And played the fife lowly You know the song in my heart In the turning of twilight In the shadows of moonlight You can show me a new place to start I've torn my clothes and I've drained the cup Stripping away at it all Thinking of you when the sun comes up Where teardrops fall By rivers of blindness In love and with kindness We could hold up a toast if we meet To the cutting of fences To sharpen the senses That linger in the fireball heat Roses are red, violets are blue And time is beginning to crawl I just might have to come see you Where teardrops fall
Everything Is Broken;3;Oh mercy;1989;Broken lines, broken strings Broken threads, broken springs Broken idols, broken heads People sleeping in broken beds Ain't no use jiving Ain't no use joking Everything is broken Broken bottles, broken plates Broken switches, broken gates Broken dishes, broken parts Streets are filled with broken hearts Broken words never meant to be spoken Everything is broken Seem like every time you stop and turn around Something else just hit the ground Broken cutters, broken saws Broken buckles, broken laws Broken bodies, broken bones Broken voices on broken phones Take a deep breath, feel like you're choking Everything is broken Every time you leave and go off someplace Things fall to pieces in my face Broken hands on broken ploughs Broken treaties, broken vows Broken pipes, broken tools People bending broken rules Hound dog howling, bullfrog croaking Everything is broken
Ring Them Bells;4;Oh mercy;1989;Ring them bells, ye heathen From the city that dreams Ring them bells from the sanctuaries 'Cross the valleys and streams For they're deep and they're wide And the world's on its side And time is running backwards And so is the bride Ring them bells St. Peter Where the four winds blow Ring them bells with an iron hand So the people will know Oh it's rush hour now On the wheel and the plow And the sun is going down Upon the sacred cow Ring them bells Sweet Martha For the poor man's son Ring them bells so the world will know That God is one Oh the shepherd is asleep Where the willows weep And the mountains are filled With lost sheep Ring them bells for the blind and the deaf Ring them bells for all of us who are left Ring them bells for the chosen few Who will judge the many when the game is through Ring them bells, for the time that flies For the child that cries When innocence dies Ring them bells St. Catherine From the top of the room Ring them from the fortress For the lilies that bloom Oh the lines are long And the fighting is strong And they're breaking down the distance Between right and wrong
Man in the Long Black Coat;5;Oh mercy;1989;Crickets are chirping, the water is high There's a soft cotton dress on the line hangin' dry Window wide open, African trees Bent over backwards from a hurricane breeze Not a word of goodbye, not even a note She gone with the man In the long black coat Somebody seen him hanging around At the old dance hall on the outskirts of town He looked into her eyes when she stopped him to ask If he wanted to dance, he had a face like a mask Somebody said from the Bible he'd quote There was dust on the man In the long black coat Preacher was a talkin', there's a sermon he gave He said every man's conscience is vile and depraved You cannot depend on it to be your guide When it's you who must keep it satisfied It ain't easy to swallow, it sticks in the throat She gave her heart to the man In the long black coat There are no mistakes in life some people say It is true sometimes you can see it that way But people don't live or die, people just float She went with the man In the long black coat There's smoke on the water, it's been there since June Tree trunks uprooted, 'neath the high crescent moon Feel the pulse and vibration and the rumbling force Somebody is out there beating a dead horse She never said nothing, there was nothing she wrote She gone with the man In the long black coat
Most of the Time;6;Oh mercy;1989;Most of the time I'm clear focused all around Most of the time I can keep both feet on the ground I can follow the path, I can read the signs Stay right with it when the road unwinds I can handle whatever I stumble upon I don't even notice she gone Most of the time Most of the time It's well understood Most of the time I wouldn't change it if I could I can make it all match up, I can hold my own I can deal with the situation right down to the bone I can survive, I can endure And I don't even think about her Most of the time Most of the time My head is on straight Most of the time I'm strong enough not to hate I don't build up illusion 'till it makes me sick I ain't afraid of confusion no matter how thick I can smile in the face of mankind Don't even remember what her lips felt like on mine Most of the time Most of the time She ain't even in my mind I wouldn't know her if I saw her She's that far behind Most of the time I can't even be sure If she was ever with me Or if I was ever with her Most of the time I'm halfway content Most of the time I know exactly where it all went I don't cheat on myself, I don't run and hide Hide from the feelings that are buried inside I don't compromise and I don't pretend I don't even care if I ever see her again Most of the time
What Good Am I?;7;Oh mercy;1989;What good am I if I'm like all the rest If I just turn away, when I see how you're dressed If I shut myself off so I can't hear you cry What good am I? What good am I if I know and don't do If I see and don't say, if I look right through you If I turn a deaf ear to the thundering sky What good am I? What good am I while you softly weep And I hear in my head what you say in your sleep And I freeze in the moment like the rest who don't try What good am I? What good am I then to others and me If I've had every chance and yet still fail to see If my hands are tied must I not wonder within Who tied them and why and where must I have been? What good am I if I say foolish things And I laugh in the face of what sorrow brings And I just turn my back while you silently die What good am I?
Disease of Conceit;8;Oh mercy;1989;There's a whole lot of people suffering tonight From the disease of conceit Whole lot of people struggling tonight From the disease of conceit Comes right down the highway Straight down the line Rips into your senses Through your body and your mind Nothing about it that's sweet The disease of conceit There's a whole lot of hearts breaking tonight From the disease of conceit Whole lot of hearts shaking tonight From the disease of conceit Steps into your room Eats your soul Over your senses You have no control Ain't nothing too discreet About the disease of conceit There's a whole lot of people dying tonight From the disease of conceit Whole lot of people crying tonight From the disease of conceit Comes right out of nowhere And you're down for the count From the outside world The pressure will mount Turn you into a piece of meat The disease of conceit Conceit is a disease That the doctors got no cure They've done a lot of research on it But what it is, they're still not sure There's a whole lot of people in trouble tonight From the disease of conceit Whole lot of people seeing double tonight From the disease of conceit Give ya delusions of grandeur And a evil eye Give you the idea that You're too good to die Then they bury you from your head to your feet From the disease of conceit
What Was It You Wanted;9;Oh mercy;1989;What was it you wanted? Tell me again so I'll know What's happening in there What's going on in your show What was it you wanted Could you say it again? I'll be back in a minute You can get it together by then What was it you wanted You can tell me, I'm back We can start it all over Get it back on the track You got my attention Go ahead, speak What was it you wanted When you were kissing my cheek? Was there somebody looking When you give me that kiss Someone there in the shadows Someone that I might have missed? Is there something you needed Something I don't understand What was it you wanted Do I have it here in my hand? Whatever you wanted Slipped out of my mind Would you remind me again If you'd be so kind Has the record been breaking Did the needle just skip Is there somebody waiting Was there a slip of the lip? What was it you wanted I ain't keeping score Are you the same person That was here before? Is it something important? Maybe not What was it you wanted? Tell me again I forgot Whatever you wanted What could it be Did somebody tell you That you could get it from me Is it something that comes natural Is it easy to say Why do you want it Who are you anyway? Is the scenery changing Am I getting it wrong Is the whole thing going backwards Are they playing our song? Where were you when it started Do you want it for free What was it you wanted Are you talking to me?
Shooting Star;10;Oh mercy;1989;Seen a shooting star tonight And I thought of you You were trying to break into another world A world I never knew I always kind of wondered If you ever made it through Seen a shooting star tonight And I thought of you Seen a shooting star tonight And I thought of me If I was still the same If I ever became what you wanted me to be Did I miss the mark or overstep the line That only you could see? Seen a shooting star tonight And I thought of me Listen to the engine, listen to the bell As the last fire truck from hell Goes rolling by All good people are praying It's the last temptation, the last account The last time you might hear the sermon on the mount The last radio is playing Seen a shooting star tonight Slip away Tomorrow will be Another day Guess it's too late to say the things to you That you needed to hear me say Seen a shooting star tonight Slip away
Wiggle Wiggle;1;Under the red sky;1990;Wiggle, wiggle, wiggle like a gypsy queen Wiggle, wiggle, wiggle all dressed in green Wiggle, wiggle, wiggle till the moon is blue Wiggle till the moon sees you Wiggle, wiggle, wiggle in your boots and shoes Wiggle, wiggle, wiggle, you got nothing to lose Wiggle, wiggle, wiggle like a swarm of bees Wiggle on your hands and knees Wiggle to the front, wiggle to the rear Wiggle till you wiggle right out of here Wiggle till it opens, wiggle till it shuts Wiggle till it bites, wiggle till it cuts Wiggle, wiggle, wiggle like a bowl of soup Wiggle, wiggle, wiggle like a rolling hoop Wiggle, wiggle, wiggle like a ton of lead Wiggle—you can raise the dead Wiggle till you're high, wiggle till you're higher Wiggle till you vomit fire Wiggle till it whispers, wiggle till it hums Wiggle till it answers, wiggle till it comes Wiggle, wiggle, wiggle like satin and silk Wiggle, wiggle, wiggle like a pail of milk Wiggle, wiggle, wiggle, rattle and shake Wiggle like a big fat snak
Under the Red Sky;2;Under the red sky;1990;There was a little boy and there was a little girl And they lived in an alley under the red sky There was a little boy and there was a little girl And they lived in an alley under the red sky There was an old man and he lived in the moon One summer's day he came passing by There was an old man and he lived in the moon And one day he came passing by Someday little girl, everything for you is gonna be new Someday little girl, you'll have a diamond as big as your shoe Let the wind blow low, let the wind blow high One day the little boy and the little girl were both baked in a pie Let the wind blow low, let the wind blow high One day the little boy and the little girl were both baked in a pie This is the key to the kingdom and this is the town This is the blind horse that leads you around Let the bird sing, let the bird fly One day the man in the moon went home and the river went dry Let the bird sing, let the bird fly The man in the moon went home and the river went dry
